"name","count"
"(NLP) налитик",1 
"(family office)",1 
"(middle)",1 
"Data Scientist",2 
"Junior",1 
"Middle",1 
"Senior Analyst",1 
"Senior",1 
"Senior(NLP/NLU)",1 
"Аналитик конометрист /(Junior/Middle)",1 
"Аналитик",1 
"Аналитик-математик ",1 
"Начальник отдела аналитики данных ",1 
"Специалист /(big data",1 
"Специалист Computer Vision ",1 
"Специалист по машинному обучению /(FinTech)",1 
"Специалист по машинному обучению/(NLP)",1 
"Специалист по углубленной аналитике данных ",1 
"Портфельный аналитик",1 
